"GUID","householdsTotal","noHeating","yearBuilt","mobHome","oneParent","onePerson","noCar","noInternet","priWater"
"4c07d11e-0970-851d-e053-ca3ca8c0ca7f",62,0,10,0,5,11,1,11,23
"4c07d11e-0632-851d-e053-ca3ca8c0ca7f",63,1,15,0,5,19,15,17,13
"4c07d11d-fc8f-851d-e053-ca3ca8c0ca7f",65,3,15,1,10,10,5,17,26
"4c07d11e-0631-851d-e053-ca3ca8c0ca7f",82,1,20,0,10,18,6,13,17
"4c07d11e-0666-851d-e053-ca3ca8c0ca7f",57,0,16,0,3,17,2,17,17
"4c07d11e-0bae-851d-e053-ca3ca8c0ca7f",89,0,20,0,13,26,11,22,5
"4c07d11d-ff88-851d-e053-ca3ca8c0ca7f",63,2,20,0,7,15,4,13,53
"4c07d11e-0551-851d-e053-ca3ca8c0ca7f",60,0,7,0,7,9,2,10,24
"4c07d11e-0274-851d-e053-ca3ca8c0ca7f",74,1,7,0,6,17,3,20,33
"4c07d11e-08c9-851d-e053-ca3ca8c0ca7f",83,3,27,1,5,25,5,26,62
"4c07d11e-087a-851d-e053-ca3ca8c0ca7f",96,1,18,0,12,13,5,22,59
"4c07d11e-0877-851d-e053-ca3ca8c0ca7f",99,1,19,0,4,19,6,25,68
"4c07d11e-0887-851d-e053-ca3ca8c0ca7f",87,0,10,0,10,11,6,20,52
"4c07d11e-27b4-851d-e053-ca3ca8c0ca7f",97,0,0,0,12,25,10,19,2
"4c07d11e-08c5-851d-e053-ca3ca8c0ca7f",65,1,5,0,6,9,3,6,29
"4c07d11e-2385-851d-e053-ca3ca8c0ca7f",67,0,12,0,6,18,6,13,2
"4c07d11e-08c6-851d-e053-ca3ca8c0ca7f",91,0,5,0,9,12,1,6,23
"4c07d11e-27b3-851d-e053-ca3ca8c0ca7f",76,0,2,0,7,20,3,13,1
"4c07d11e-238e-851d-e053-ca3ca8c0ca7f",80,0,4,0,13,20,7,13,13
"4c07d11e-0275-851d-e053-ca3ca8c0ca7f",59,2,6,0,7,19,14,21,1
"4c07d11e-233c-851d-e053-ca3ca8c0ca7f",86,0,1,0,12,32,33,37,0
"4c07d11e-2344-851d-e053-ca3ca8c0ca7f",83,1,10,0,22,21,26,27,2
"4c07d11e-233a-851d-e053-ca3ca8c0ca7f",90,3,13,0,12,50,41,26,0
"4c07d11e-2741-851d-e053-ca3ca8c0ca7f",97,0,14,0,15,37,18,24,0
"4c07d11e-233b-851d-e053-ca3ca8c0ca7f",72,3,32,0,1,48,37,17,0
"4c07d11e-239c-851d-e053-ca3ca8c0ca7f",88,2,10,2,2,24,7,20,1
"4c07d11d-fd9d-851d-e053-ca3ca8c0ca7f",72,3,18,0,8,13,3,15,42
"4c07d11e-07e1-851d-e053-ca3ca8c0ca7f",72,0,10,2,5,15,1,20,46
"4c07d11e-099c-851d-e053-ca3ca8c0ca7f",79,3,11,1,9,21,10,21,22
"4c07d11e-096d-851d-e053-ca3ca8c0ca7f",63,0,18,0,3,18,3,20,15
"4c07d11e-23c7-851d-e053-ca3ca8c0ca7f",56,0,3,0,8,23,17,17,1
"4c07d11e-23d1-851d-e053-ca3ca8c0ca7f",62,0,14,0,8,22,17,26,1
"4c07d11e-23d8-851d-e053-ca3ca8c0ca7f",71,2,0,0,7,18,8,17,1
"4c07d11e-099d-851d-e053-ca3ca8c0ca7f",76,0,4,0,10,17,4,7,19
"4c07d11e-02f4-851d-e053-ca3ca8c0ca7f",117,0,4,0,6,37,11,17,6
"4c07d11e-23d0-851d-e053-ca3ca8c0ca7f",76,1,7,0,3,24,6,9,1
"4c07d11d-ff81-851d-e053-ca3ca8c0ca7f",95,2,11,0,3,27,5,24,38
"4c07d11e-0842-851d-e053-ca3ca8c0ca7f",101,0,6,0,11,22,10,15,39
"4c07d11e-23e1-851d-e053-ca3ca8c0ca7f",85,0,4,0,12,19,3,13,5
"4c07d11e-23e2-851d-e053-ca3ca8c0ca7f",112,0,16,0,13,35,20,28,6
"4c07d11d-fd99-851d-e053-ca3ca8c0ca7f",100,3,30,0,6,22,5,25,51
"4c07d11e-2793-851d-e053-ca3ca8c0ca7f",71,0,3,0,9,12,7,7,0
"4c07d11e-0257-851d-e053-ca3ca8c0ca7f",85,1,14,0,4,14,11,8,4
"4c07d11e-279c-851d-e053-ca3ca8c0ca7f",86,0,4,0,12,13,20,15,1
"4c07d11e-2371-851d-e053-ca3ca8c0ca7f",84,2,2,0,19,20,20,14,0
"4c07d11e-2370-851d-e053-ca3ca8c0ca7f",94,1,12,0,11,23,18,18,2
"4c07d11e-2794-851d-e053-ca3ca8c0ca7f",69,0,1,0,8,19,8,10,3
"4c07d11e-3aaa-851d-e053-ca3ca8c0ca7f",70,2,8,0,9,12,18,10,0
"4c07d11e-0255-851d-e053-ca3ca8c0ca7f",100,2,6,0,17,27,15,24,1
"4c07d11e-07f8-851d-e053-ca3ca8c0ca7f",101,0,15,1,12,22,4,17,53
"4c07d11e-0258-851d-e053-ca3ca8c0ca7f",103,2,5,0,14,21,17,27,6
"4c07d11e-27b2-851d-e053-ca3ca8c0ca7f",109,0,0,0,15,11,2,1,8
"4c07d11d-fd91-851d-e053-ca3ca8c0ca7f",59,1,17,2,2,17,5,13,29
"4c07d11e-07e4-851d-e053-ca3ca8c0ca7f",61,2,18,1,5,13,6,13,38
"4c07d11d-fd92-851d-e053-ca3ca8c0ca7f",69,1,17,0,2,19,3,15,37
"4c07d11d-fd93-851d-e053-ca3ca8c0ca7f",74,0,14,0,3,10,1,21,40
"4c07d11d-ff0d-851d-e053-ca3ca8c0ca7f",97,0,25,0,9,26,5,36,37
"4c07d11e-096b-851d-e053-ca3ca8c0ca7f",76,0,16,1,4,21,7,26,20
"4c07d11e-096c-851d-e053-ca3ca8c0ca7f",73,2,18,0,8,23,5,16,52
"4c07d11e-099b-851d-e053-ca3ca8c0ca7f",72,3,19,1,3,20,7,21,37
"4c07d11e-0832-851d-e053-ca3ca8c0ca7f",86,2,13,0,14,27,16,32,18
"4c07d11d-fd9e-851d-e053-ca3ca8c0ca7f",113,1,20,0,11,22,7,23,52
"4c07d11e-23a7-851d-e053-ca3ca8c0ca7f",93,2,16,0,22,29,22,32,0
"4c07d11e-23a8-851d-e053-ca3ca8c0ca7f",99,2,9,0,16,32,20,25,1
"4c07d11e-239d-851d-e053-ca3ca8c0ca7f",115,0,2,0,17,20,4,16,2
